Treatment,Pop,GH.area,Mat.area,Dam,Plant_ID,SM_g,GR,FT,DTF,CW,ASD_S,ASD_L,ASD,SM.s,GR.s,CW.s,ASD.s,ORQFT,Index
Sel,ELLR,DD,A7,450,450-5,0.028,0.4,251,155,38.77,-1.92,2.2,2.06,-0.997772193,-0.86899194,1.169065101,1.042241444,0.354484077,-0.55166987
Sel,ELLR,DD,A7,450,450-6,0.034,0.3,250,154,39.37,-1.13,1.97,1.55,0.048297722,-1.595929925,1.310431585,-0.235805508,0.321571605,1.279399994
Sel,ELLR,DD,A7,450,450-7,0.032,0.3,262,166,43.6,-0.52,3.07,1.795,-0.30039225,-1.595929925,2.307065298,0.378158223,0.636321107,0.826234638
Sel,ELLR,DD,A7,450,450-8,0.037,0.4,250,154,36.25,-3.63,1.48,2.555,0.571332679,-0.86899194,0.575325868,2.282698779,0.321571605,-0.937412914
Sel,ELLR,DD,A7,450,450-9,0.036,0.3,267,171,38.02,0,2.93,1.465,0.396987693,-1.595929925,0.992356996,-0.448813334,0.841454099,1.318783382
Sel,ELLR,DA,A1,404,404-10,0.036,0.6,281,185,37.99,-0.35,1.63,0.99,0.396987693,0.58488403,0.985288672,-1.639151181,1.209461151,0.898478626
Sel,ELLR,DA,A1,404,404-5,0.042,0.4,280,184,32.61,-1.35,2.21,1.78,1.443057608,-0.86899194,-0.282297468,0.340568607,1.181892195,0.341253955
Sel,ELLR,DA,A1,404,404-7,0.034,0.5,272,176,38.09,-1.48,3.62,2.55,0.048297722,-0.142053955,1.008849753,2.270168907,1.001057002,-1.668991481
Sel,ELLR,DA,A1,404,404-8,0.035,0.3,264,168,37.68,-1.3,2.49,1.895,0.222642708,-1.595929925,0.912249322,0.628755665,0.722776022,0.469210506
Sel,ELLR,DA,A1,404,404-9,0.037,0.4,280,184,34.75,-0.62,2.33,1.475,0.571332679,-0.86899194,0.221909658,-0.42375359,1.181892195,0.663316461
Sel,ELLR,DA,A2,405,405-1,0.025,0.4,267,171,37.9,-0.77,1.09,0.93,-1.52080715,-0.86899194,0.964083699,-1.789509646,0.841454099,1.088079059
Sel,ELLR,DA,A2,405,405-10,0.027,0.5,284,188,33.1,-1.71,0.14,0.925,-1.172117178,-0.142053955,-0.166848173,-1.802039518,1.309237517,0.395536652
Sel,ELLR,DA,A2,405,405-2,0.031,0.6,266,170,37.34,-1.67,0.89,1.28,-0.474737235,0.58488403,0.832141647,-0.912418601,0.798764866,0.092563391
Sel,ELLR,DA,A2,405,405-3,0.029,0.5,279,183,41.05,-1.58,1.63,1.605,-0.823427207,-0.142053955,1.706257741,-0.097976915,1.146097537,-0.16336045
Sel,ELLR,DA,A2,405,405-4,0.03,0.4,274,178,39.45,-2.5,0,1.25,-0.649082221,-0.86899194,1.32928045,-0.987597833,1.04560878,0.894115638
Sel,ELLR,DA,A2,405,405-5,0.031,0.5,274,178,40.55,-1.13,1.77,1.45,-0.474737235,-0.142053955,1.588452337,-0.48640295,1.04560878,0.278014916
Sel,ELLR,DA,A2,405,405-6,0.033,0.5,266,170,34.84,-0.9,1.09,0.995,-0.126047264,-0.142053955,0.243114631,-1.626621309,0.798764866,1.004162544
Sel,ELLR,DA,A2,405,405-7,0.024,0.5,280,184,39.24,-1.85,0.81,1.33,-1.695152136,-0.142053955,1.27980218,-0.78711988,1.181892195,-0.153796772
Sel,ELLR,DA,A2,405,405-8,0.026,0.5,274,178,39.18,-1.8,0.53,1.165,-1.346462164,-0.142053955,1.265665532,-1.200605658,1.04560878,0.345983285
Sel,ELLR,DA,A2,405,405-9,0.032,0.4,273,177,35.45,-1.02,1.22,1.12,-0.30039225,-0.86899194,0.386837223,-1.313374507,1.030530847,1.042489157
Sel,ELLR,DA,A2,406,406-1,0.034,0.3,264,168,37.47,-1.49,1.37,1.43,0.048297722,-1.595929925,0.862771052,-0.536522438,0.722776022,1.241730337
Sel,ELLR,DA,A2,406,406-10,0.032,0.6,259,163,35.45,-0.53,2.85,1.69,-0.30039225,0.58488403,0.386837223,0.11503091,0.557120625,-0.622412715
Sel,ELLR,DA,A2,406,406-2,0.033,0.7,269,173,26.73,-0.91,2.46,1.685,-0.126047264,1.311822015,-1.667689012,0.102501038,0.915650458,-1.593606845
