"","sm","gr","ft","cw","asd","total"
"a",4223.58622275966,5385.6984069858,2729.44146612032,5704.17112864175,5790.61003534428,23833.5072598518
"b",4203.02617546417,5389.69708242986,2721.18810338281,5686.65521597284,5763.63347634743,23764.2000535971
"c",4220.91013491382,5385.08933603612,2727.20090745634,5696.36796899376,5780.34167917643,23809.9100265765
"d",4201.66327863493,5389.88857451138,2721.20840317866,5686.67609423793,5764.06552756108,23763.501878124
"e",4220.67942921273,5385.86020179805,2726.96715571651,5692.77904974028,5775.76485746935,23802.0506939369
"f",4201.53964989106,5391.14762229785,2720.51676373313,5686.11206331792,5764.62709770149,23763.9431969415
